label	text_a
1025	白石岭长城
641	白石岭长城 五顶庙
742	白石岭长城 五顶庙 首云铁矿公园
819	白石岭长城 五顶庙 首云铁矿公园 白岭关长城
295	皇城艺术馆
269	皇城艺术馆 水库周边景观带状公园
213	皇城艺术馆 水库周边景观带状公园 成贤街
268	崇文门堂
365	灵鹫禅寺
137	湖山真意
778	湖山真意 传统四合院
272	湖山真意 传统四合院 东小口森林公园
720	湖山真意 传统四合院 东小口森林公园 长安街
777	民族文化宫
233	平西抗日纪念馆
522	平西抗日纪念馆 宋庄画家村画廊
715	平西抗日纪念馆 宋庄画家村画廊 配位燎炉
976	平西抗日纪念馆 宋庄画家村画廊 配位燎炉 云蒙三峪景区
290	大葆台西汉墓
642	大葆台西汉墓 紫气东来城关
265	大葆台西汉墓 紫气东来城关 仙峰谷
1067	大葆台西汉墓 紫气东来城关 仙峰谷 奥林匹克水上公园
66	国子监街
1027	国子监街 卢沟桥
1052	南宫地热博览园
944	南宫地热博览园 金炉圣母铸钟娘娘庙
597	南宫地热博览园 金炉圣母铸钟娘娘庙 白水寺
693	盛世天空美术馆
522	东四十四条胡同
269	东四十四条胡同 配位燎炉
913	东四十四条胡同 配位燎炉 成贤街
786	东四十四条胡同 配位燎炉 成贤街 史家胡同
420	798幻艺术中心夜殿
370	798幻艺术中心夜殿 总理各国事务衙门建筑遗存
520	东岳庙(北京民俗博物馆)
1037	东岳庙(北京民俗博物馆) 鸡冠山
981	东岳庙(北京民俗博物馆) 鸡冠山 洵贝勒府
531	十渡风景名胜区
584	清华大学艺术博物馆
905	清华大学艺术博物馆 车耳营民俗旅游专业村
618	清华大学艺术博物馆 车耳营民俗旅游专业村 湖景水上乐园
673	国子监街
267	凡花小筑
119	百泉山
678	当铺李
266	当铺李 物流博物馆
69	汤河古寨
1099	汤河古寨 香山公园
263	蔡元培故居
940	蔡元培故居 七里渠农场
710	廓然大公
905	廓然大公 碧海公园
558	廓然大公 碧海公园 湖景水上乐园
592	廓然大公 碧海公园 湖景水上乐园 北京工人俱乐部金沙剧场杂技
1071	五道口魔幻3D艺术馆
15	五道口魔幻3D艺术馆 文峰塔
441	五道口魔幻3D艺术馆 文峰塔 古北水镇
356	古北口长城
841	古北口长城 二锅头酒博物馆
1074	燕城古街
555	小龙华寺
529	小龙华寺 佛香阁
626	小龙华寺 佛香阁 先声画廊
620	顺天府大堂
1040	顺天府大堂 红螺湖鸟岛景区
1138	顺天府大堂 红螺湖鸟岛景区 照塔
884	顺天府大堂 红螺湖鸟岛景区 照塔 顺义生命安全体验馆
1031	明十三陵
270	明十三陵 中华文化园
20	明十三陵 中华文化园 龙潭公园
1019	明十三陵 中华文化园 龙潭公园 五道营胡同
806	金河堤碑
810	金河堤碑 港中旅南山房车小镇
778	紫气东来城关
872	洪水口村
739	西单
708	西单 千尺珍珠瀑
832	下寺石塔
1061	中国民兵武器装备陈列馆
471	中国民兵武器装备陈列馆 隆安寺
100	中国民兵武器装备陈列馆 隆安寺 考拉大冒险儿童主题乐园
690	中国民兵武器装备陈列馆 隆安寺 考拉大冒险儿童主题乐园 鸟巢3D美术馆
426	京东大峡谷
978	京东大峡谷 密云人间花海薰衣草庄园
729	京东大峡谷 密云人间花海薰衣草庄园 万柳堂旧址
138	松堂斋民间雕刻博物馆
154	松堂斋民间雕刻博物馆 红螺寺
984	松堂斋民间雕刻博物馆 红螺寺 五棵松
410	松堂斋民间雕刻博物馆 红螺寺 五棵松 圣安寺遗址
162	鼓楼
1098	鼓楼 京杭大运河
467	鼓楼 京杭大运河 孚王府
440	鼓楼 京杭大运河 孚王府 华韵·安徽非遗馆
592	定陵地下宫殿
788	定陵地下宫殿 普拉托休闲度假小镇
1001	中国宋庆龄青少年科技文化交流中心
805	南锣鼓巷
680	南锣鼓巷 五道庙
822	南锣鼓巷 五道庙 中捷当代美术馆
19	定都阁
212	定都阁 北海公园
184	定都阁 北海公园 古观象台
668	定都阁 北海公园 古观象台 未名湖
455	香山公园
1101	香山公园 北京旅游集散中心
